8.283382058143615723e-01,5.685610771179199219e-01,7.088758945465087891e-01
6.072556972503662109e-01,7.081823945045471191e-01,8.262803554534912109e-01
5.441916584968566895e-01,7.407004237174987793e-01,8.496093750000000000e-01
4.734581410884857178e-01,7.862683534622192383e-01,8.767361044883728027e-01
3.994259536266326904e-01,8.265088200569152832e-01,8.998481035232543945e-01
3.430156111717224121e-01,8.457512259483337402e-01,9.133029580116271973e-01
3.038644492626190186e-01,8.676541447639465332e-01,9.258897304534912109e-01
2.758876085281372070e-01,8.765699863433837891e-01,9.321831464767456055e-01
2.512005567550659180e-01,8.979364037513732910e-01,9.440104365348815918e-01
2.406854927539825439e-01,8.982041478157043457e-01,9.439018964767456055e-01
2.212598472833633423e-01,9.043555855751037598e-01,9.481337070465087891e-01
2.133504301309585571e-01,9.065027236938476562e-01,9.490017294883728027e-01
1.918162554502487183e-01,9.128491878509521484e-01,9.520399570465087891e-01
1.927406042814254761e-01,9.157434105873107910e-01,9.539930820465087891e-01
1.834864616394042969e-01,9.162709116935729980e-01,9.548611044883728027e-01
1.719513237476348877e-01,9.210448861122131348e-01,9.577907919883728027e-01
1.586346030235290527e-01,9.255781173706054688e-01,9.595268964767456055e-01
1.669195145368576050e-01,9.224866032600402832e-01,9.575737714767456055e-01
1.572163403034210205e-01,9.260725378990173340e-01,9.600694179534912109e-01
1.567361950874328613e-01,9.305368065834045410e-01,9.622395634651184082e-01
1.440484076738357544e-01,9.322113394737243652e-01,9.631076455116271973e-01
1.469392925500869751e-01,9.323316216468811035e-01,9.621310830116271973e-01
1.360136866569519043e-01,9.354115724563598633e-01,9.653862714767456055e-01
1.353853344917297363e-01,9.385881423950195312e-01,9.671223759651184082e-01
1.231239214539527893e-01,9.427058100700378418e-01,9.688584804534912109e-01
1.149521917104721069e-01,9.461349844932556152e-01,9.709201455116271973e-01
1.188126504421234131e-01,9.406840801239013672e-01,9.683159589767456055e-01
1.101470962166786194e-01,9.470690488815307617e-01,9.712456464767456055e-01
1.073368713259696960e-01,9.452584385871887207e-01,9.705946445465087891e-01
1.010155156254768372e-01,9.497234821319580078e-01,9.729817509651184082e-01
9.739954024553298950e-02,9.487189054489135742e-01,9.726562500000000000e-01
9.896900504827499390e-02,9.516514539718627930e-01,9.737412929534912109e-01
9.094207733869552612e-02,9.521191120147705078e-01,9.747178554534912109e-01
9.234269708395004272e-02,9.571120738983154297e-01,9.769965410232543945e-01
8.052131533622741699e-02,9.589269161224365234e-01,9.782986044883728027e-01
8.094688504934310913e-02,9.589205980300903320e-01,9.782986044883728027e-01
7.692684233188629150e-02,9.595268964767456055e-01,9.784071445465087891e-01
7.474297285079956055e-02,9.629333019256591797e-01,9.803602695465087891e-01
7.531011849641799927e-02,9.577730894088745117e-01,9.772135615348815918e-01
7.339279353618621826e-02,9.629321694374084473e-01,9.799262285232543945e-01
